Review,Polarity,Town,Region,Type
"Un Restaurante te invita por su ambiente tan alegre,.pero al sentarte los meseros te apuran al tomar tu orden, y luego al llevarte tu orden se olvidan de ti.
La comida esta buena.
Hay estacionamiento.
Y no estaba lleno y aun asi nos descuidaron mucho....Más",2.0,Tlaquepaque,Jalisco,Restaurant
"Pagamos 25 pesos por la entrada y no es gran cosa. Lo único bueno es que no habia nadie, pero hay lugares mucho mas bonitos para bañarse en la laguna que son gratuitos.",3.0,Bacalar,QuintanaRoo,Attractive
"Mi esposa y yo nos alojamos en el Dreams por 4 días en enero de 2016. Primero tengo que decir que el complejo era muy agradable y las instalaciones parecía muy bien cuidados. Teníamos una habitación con vistas al océano, que era agradable. La zona de gimnasio también estaba bien, tenían unas cuantas cintas y algunas pesas. Probamos a la orden tarde noche servicio de habitación varias veces y no podíamos conseguir que nadie contesta el teléfono que era frustrante.  Comida: yo estaba bastante decepcionado con la comida aquí. La comida en la piscina parecía que estaban camino a largo y no le importaba. Tuvimos un par de buenas comidas tacos/burritos, pero en general no me impresionó. Yo estaba frustrado con el código de vestimenta, tengo un tanque superior y que no me asiento pero",3.0,Tulum,QuintanaRoo,Hotel
"La única decepción puede no ser José Cuervo, pero fue realmente una mala experiencia para nosotros. Resultó que conseguimos blue vs acanalado elástico u otro medio para ceñir púrpura, y sólo la cintura blye puede hacer la degustación en la bodega y el comedor. De hecho reservamos la excursión por el conserje en el hotel Riu, y fue confirmado por el conserje durante la reserva que la prueba está incluido. Sin embargo, con toda la emoción con ganas de la cata, nos dijeron que fuera de la bodega al final del tour de la fábrica que compramos el grado inferior tour y no nos permitieron hacer la degustación. Queríamos volver pero fue rechazada. Lo que empeoró las cosas era, nos hicieron desde fuera la bodega viendo otros disfrutando de la degustación como un ""favor"" para nosotros. Estamos bastante seguros había graciosas negocios entre el conserje y los operadores turísticos. Pero Josr Cuervo debería haber nos informó que la diferencia whistband antes de que el tour comenzó, no justo antes de que la sesión de degustación. Una muy mala experiencia de tequila.",2.0,Tequila,Jalisco,Attractive
"Cuando leí los comentarios sobre cómo son las cosas, grosero ellos creen que el personal de este hotel son súper antipático e incluso grosero. Eres una molestia para ellos simplemente estar allí, olvídate si tienes que pedir algo tan sencillo como llamar a un taxi o necesita una toalla o simplemente saludando, que nunca están contentos de verte! Hay gente que vive en este hotel, se podía ver en las habitaciones y apartamentos tienen completo con mucha animales vivos dentro, me encanta los animales, pero no esperaba que ellos corriendo por los pasillos. El desayuno estaba incluido, pero no muy bueno. Puedes conseguir en Internet, pero sólo cerca de la oficina, no en la habitación. Estancia aquí! !",1.0,Isla_Mujeres,QuintanaRoo,Hotel
"Durante la cata, compre una botella de tequila la cofradia reposa en $1,460 pesos. La guía se ofreció a resguardar la botella mientras temrinabamos la cata.  Al dia de dejar el hotel, pase por mi botella y me la entregaron vacia y rota. Nadie se hizo responsable.  Muy buena experiencia, pero muy mal que no se hagan responsables",1.0,Tequila,Jalisco,Hotel
La verdad muy costosa la entrada 500 pesos mexicanos por persona. Mucho mejor el cenote azul en Bacalar donde solo se pagan 25 pesos por ingresar es mucho más cómodo en todos los sentidos. La verdad no lo recomiendo en absoluto. Adicionalmente se aglomeran muchas personas y ahorita en tiempos de pandemia se debe tener en cuenta.,1.0,Tulum,QuintanaRoo,Attractive
"El lugar está decorado muy bonito, tiene mesas al interior y afuera, van cambiando el menú cada semana pero lo que nos tocó a nosotros nada rico. Los niños pidieron un ribeye y estaba duro incomible, no se podía ni partir. 
El servicio muy bueno,...Más",3.0,Atlixco,Puebla,Restaurant
Hace tiempo que fui al restaurante de este hotel que es muy bonito y agradable el servicio fue bueno pero los platillos no fueron los mejores el pollo que pedí estaba muy seco la salsa que servician con macadamia estaba muy buena que fue lo...Más,3.0,San_Cristobal_de_las_Casas,Chiapas,Restaurant
"Primero de todo, el hotel está situado en una buena ubicación. El personal es muy amable y servicial. El restaurante sirve muy buena comida y el servicio es fantástico. Nos quedamos sólo una noche, volvimos dos veces para comer. Nos dieron una suite junior de nivel superior, espaciosas, un gran balcón con vistas al mar. No hay armario ropero, sólo un bar en la pared con pocos Hanger-abrigo. La habitación está llena de luz debido a la gran ventana delantera y la parte trasera de ventana ... y sí va a ser muy caliente. El pequeño (ruidoso) ventilador encima de la cama no ayuda mucho. Nos las arreglamos para dejar las ventanas abiertas sus puertas, a pesar de que era bastante viento. En la parte de arriba de que tenemos un problema con el baño, que necesitaba ser reemplazado el día",2.0,Tulum,QuintanaRoo,Hotel
"Es emocionante entrar a un lugar lleno de color, incita a comer y te alegra el dia. Los precios son algo caros por que lo que sirven  y no tienen nada especial en sabor.",3.0,Tepoztlan,Morelos,Restaurant
