Review,Polarity,Town,Region,Type,cluster
invita ambiente tan alegrepero sentarte meseros apuran tomar orden luego llevarte orden olvidan buena estacionamiento lleno aun asi descuidaron,2,Tlaquepaque,Jalisco,Restaurant,4
pagamos pesos entrada gran cosa único bueno habia nadie lugares mas bonitos bañarse laguna gratuitos,3,Bacalar,QuintanaRoo,Attractive,1
esposa alojamos dreams días enero primero decir complejo agradable instalaciones parecía bien cuidados vistas océano agradable zona gimnasio bien unas cuantas cintas pesas probamos orden tarde noche varias veces podíamos conseguir nadie contesta teléfono frustrante bastante decepcionado aquí piscina parecía camino largo importaba par buenas comidas tacosburritos general impresionó frustrado código vestimenta tanque superior asiento,3,Tulum,QuintanaRoo,Hotel,0
única decepción puede ser josé cuervo realmente mala experiencia resultó conseguimos blue vs acanalado elástico u medio ceñir púrpura sólo cintura blye puede hacer degustación bodega comedor hecho reservamos excursión conserje riu confirmado conserje reserva prueba incluido embargo toda emoción ganas cata dijeron bodega final tour fábrica compramos grado inferior tour permitieron hacer degustación queríamos volver rechazada empeoró cosas hicieron bodega viendo disfrutando degustación favor bastante seguros graciosas negocios conserje operadores turísticos josr cuervo debería haber informó diferencia whistband tour comenzó justo sesión degustación mala experiencia tequila,2,Tequila,Jalisco,Attractive,4
leí comentarios cómo cosas grosero creen personal súper antipático incluso grosero molestia simplemente allí olvídate pedir tan sencillo llamar taxi necesita toalla simplemente saludando nunca contentos verte gente vive podía ver apartamentos completo mucha animales vivos dentro encanta animales esperaba corriendo pasillos desayuno incluido bueno puedes conseguir internet sólo cerca oficina estancia aquí,1,Isla_Mujeres,QuintanaRoo,Hotel,0
cata compre botella tequila cofradia reposa pesos guía ofreció resguardar botella mientras temrinabamos cata dia dejar pase botella entregaron vacia rota nadie hizo responsable buena experiencia mal hagan responsables,1,Tequila,Jalisco,Hotel,4
verdad costosa entrada pesos mexicanos persona mejor cenote azul bacalar solo pagan pesos ingresar cómodo verdad recomiendo absoluto adicionalmente aglomeran muchas personas ahorita tiempos pandemia debe tener cuenta,1,Tulum,QuintanaRoo,Attractive,1
decorado bonito mesas interior afuera van cambiando menú cada semana tocó rico niños pidieron ribeye duro incomible podía partir bueno,3,Atlixco,Puebla,Restaurant,2
hace tiempo bonito agradable bueno platillos mejores pollo pedí seco salsa servician macadamia buena,3,San_Cristobal_de_las_Casas,Chiapas,Restaurant,2
primero situado buena ubicación personal amable servicial sirve buena fantástico quedamos sólo noche volvimos dos veces comer dieron suite junior nivel superior espaciosas gran balcón vistas mar armario ropero sólo bar pared pocos hangerabrigo llena luz debido gran ventana delantera parte trasera ventana va ser caliente pequeño ruidoso ventilador encima cama ayuda arreglamos dejar ventanas abiertas puertas pesar bastante viento parte arriba problema baño necesitaba ser reemplazado día,2,Tulum,QuintanaRoo,Hotel,0
emocionante entrar lleno color incita comer alegra dia precios caros sirven especial sabor,3,Tepoztlan,Morelos,Restaurant,2
sola noche bastó teléfono cofre fort ventilador menos aire acondicionado viejo descuidado maletero desayuno pan viejo café caldo sucio mermelada sabía jugo naranja restaurant ofrecido gran mentira hice denuncia país uruguay,1,Taxco,Guerrero,Hotel,4
ventaja ubicación exterior amplio menú ceviche primera clase interesante variedad chips maíz guacamole bastante soso inspiraron losa queso mozzarella plástico insípida doble hora menosque recibimos claramente casi doble cantidad esperábamos próxima versión incluía pedido además platos adicionales sólo después artículos marcados exactamente pedido recibimos hora correcta gustaría pensar error lamentable normalmente sido corregida primera vez tal vez pensaron después par copas mayoría gente paga tener buscar montón sitios comer aquí prueba confianza caminomás,2,Tulum,QuintanaRoo,Restaurant,2
bonito alejado pueblo ruido deciden ir spa hagan gruta masajes buenos vista espectacular rica,1,Tepoztlan,Morelos,Hotel,3
bonito museo mostrará historia piezas hechas cerámica cuales importantes región además guías suelen contar historias,4,Tlaquepaque,Jalisco,Attractive,1
compartimos burrito ensalada ambos deliciosos guacamole fresco patatas fritas hook arrepentirás buen buena ubicación céntrica,4,Sayulita,Nayarit,Restaurant,2
leído mayas espero puede verse entorno cotidiano katching vista colores vivos frisos adornan edificios decepcionado chichen itza cualquier edificio individual vallada suficientemente cerca castillo percibir frisos kukulkan allí demasiado fa lejos ser perspicaz experto permanecerá secreto ojos dejará deshechossi quieres disfrutar viaje gratis maya gustaría riccomand ek balam minutos valladolid unas dos horas tulum único cerca bien conservada zona territorio podrá ver bouilding cerca entrar,2,Tulum,QuintanaRoo,Attractive,1
único tipo debido q ubicado gruta afueras sitio arqueológico teotihuacán decoración típica multicolor surrealista recomienda reservar fin semana menos quieras,4,Teotihuacan,Estado_de_Mexico,Restaurant,1
cuentan aire acondicionado sofocante calor ciertas epocas año puedes dormir corre aire ventilador proporcionan pequeño sirve areas recreativas agradables buena,3,Ajijic,Jalisco,Hotel,0
error esperar cadena hoteles q opinión dejan desear instalaciones principio nunca pudieron localizar reserva hecho anterioridad dieron boletos desayuno venía incluído tarifa pagué huelen humedad spa pesimoreservé masaje minutos duró minutos alberca pequeña bar malísimo general vale pena costo tarifa caso mejor gastar irse rodavento,2,Valle_de_Bravo,Estado_de_Mexico,Hotel,4
dieron excelente educado atento aunque reservado dejó bastante decepcionada pizza mala queso usan pésimo carpaccio betabel nisiquiera puede llamarse carpaccio corte grueso vinagreta,2,Valle_de_Bravo,Estado_de_Mexico,Restaurant,2
lindo romantico aunque vas reserva tiempo espera altos aunque buena mejor locacion ambiente,4,Teotihuacan,Estado_de_Mexico,Restaurant,3
iba tener evento salones hora hacer renta quisieron dar personas iban ir indígenas clase ir clasismo racismo agradable,2,San_Cristobal_de_las_Casas,Chiapas,Hotel,4
llegamos persona dio bienvenida hizo pasar insinuando tarde mesero sirvió atento pedimos par platillos divididos dos platos mostró molesto diciendo dividíamos,1,TodosSantos,Baja_CaliforniaSur,Restaurant,4
esposa alojamos xbuluha segunda vez días sep oct vez personal agradable servicial siempre sonriente juan carlos esposa así gabriel podría haber sido complaciente diwnside situado campos fútbol agua vez cerca econimical,5,Isla_Mujeres,QuintanaRoo,Hotel,0
llegamos huasca pasar rato calma descanso conseguimos enseguida salimos pareja buscar cenar ocurrió entrar buena pinta entrar mencionaron esperáramos momento,1,Huasca_de_Ocampo,Hidalgo,Restaurant,4
increíble vista insuperable bellísima laguna bacalar excelente precios razonables amantes árboles pix monumental años único sobreviviente último huracán azotó zona hace kai,5,Bacalar,QuintanaRoo,Restaurant,1
típica mexicana bastante buena va colonial lento tiempo quieres comer rico duda,1,Zacatlan,Puebla,Restaurant,3
buscas menos gente compartir camino agua básicamente gran cueva metro agua frescas techo pies alto así nadando estalactitas raíces árboles encima colgando increíble gran refrescarse después días explorar ruinas calor,5,Valladolid,Yucatan,Attractive,1
mantener hecho hacienda propia casa pequeña techo patio vistas azotea montón senderos ritmo pobre mantenimiento antiguas jaulas animales sentados ruinas ahora tiempo caminamos senderos años muchacho asignado monitor hablaba inglés sólo espeluznante necesario,1,Isla_Mujeres,QuintanaRoo,Attractive,1
personal amable instalaciones buenas cuartos buenos ninguna mesa pudiéramos tomar copa jugar cartas,3,Valladolid,Yucatan,Restaurant,4
perdido totalmente tradición llega lanchas van demasiados jovenes intensión beber fumar mariguana haciendo ruido gritando groserías piensa respeto msma gente ahí perdido tradición pocas personas conservan molestan desorden mejor ir panteones menis concurridos gente turistas mas respeto,1,Patzcuaro,Michoacan,Attractive,4
llegamos casualidad morales cancelaron semana pesar haber reservado enero conseguir éste tiempo atendidos manera excelente especialmente parte señorita brenda dieron buenas amplias limpias buenos servicios ésto sumar vasi museo respecta comidas sabrosas atención parte personal excelente buena calidad pesar ser grupo grande siempre personal mejor disposición atenderlo además ofertaron precios accesibles,5,San_Cristobal_de_las_Casas,Chiapas,Hotel,0
caminar ruinas lluvia aún así pasamos bien allí diferentes demás mayas teotihuacan,5,Cuetzalan,Puebla,Attractive,1
segunda último visita elegimos ubicación precio alojamos parte antigua ª planta limpia pequeñas anticuadas camas dobles pequeña mesa noche pequeña mesa pared silla bureau estanterías pequeño armario perchas mini frigorífico baño tan pequeña ducha utilizan cortina vaporizaciones agua favor deshacerse colchas poliéster wifi disponible sólo razón principal volvería especialmente desayuno continental básico incluido zumo enlatado té café tostadas porción,3,Isla_Mujeres,QuintanaRoo,Hotel,0
familia comer decidimos pedir bufet pues hizo caro pesos persona incluir ningún tipo bebida acostumbramos comer decidimos cada ordenara platillo apareciera además,3,Tepotzotlan,Estado_de_Mexico,Restaurant,4
excelente ubicacion hospedado varias veces aqui nunca queja edificio viejo asi instalaciones bien cuidados funciona bien conexion wi fi buena mobiliario amenidades podrian mejorar ven viejos gastadod petsonsl excelente,4,Valladolid,Yucatan,Hotel,3
michelada llamada ojos rojos riquísima mejor probado hna mezcla salsas clamato cerveza preferencia huarache arrachera super recomendado,5,Bacalar,QuintanaRoo,Restaurant,2
desayuno excelente escasa sustanciales café refrescos fantástica relación calidadprecio bastante buena calidad comparado isla,5,Isla_Mujeres,QuintanaRoo,Restaurant,3
agradable ponen mesa enmedio jardín bajo sombra árboles varios pavos reales tipos comunes gallinas gallos alegran ambiente canto veces,3,Ajijic,Jalisco,Restaurant,0
zona arqueologica tulum encuentra minutos tulum pueblo minutos carmen paseo menos medio dia deberás llevar zapatos comodos preferencia tenis agua bloqueador supuesto camara llegando zona arqueologica sugiero tomes camioncito puerta llevara inicio zona tal cuesta pesos decides caminar tramo vas cansarte distante puerta entrada piramidesuna vez camión deja taquilla deberás comprar boleto admisión zona arqueologica cuesta pesos mexicano domingo gratisuna vez boleto mano disfrutar paseo entrada encontrarás entrada diminuta deberas pasar agachando cabeza vez cruzas abre frente toda serie construcciones zona arqueologica tulum paseo casi circular terminar castillo costado escalera madera permite acceso foto obligada castillo,4,Tulum,QuintanaRoo,Attractive,1
desayunamos aquí tostada francesa increíble lindo pequeño café acogedor volvería nuevo,5,Isla_Mujeres,QuintanaRoo,Restaurant,2
alojado gustó ubicación pareció mecanismo podría tener lavado cara siempre debe pregunta requiere depósito dólares ahora sé reciente estancia finales diciembre acusó haber roto estante estantería roto venido corregido cobraron dólares depósito luego exigieron hablar gerente funcionaba sitio negaron llamarla claro pobre personal atreví cuestionar decisión sólo lamentamos pésima liderazgo así ahora entendemos cómo tratando financiar reformas necesarias acusando dañar,1,Isla_Mujeres,QuintanaRoo,Hotel,4
pesima peor recomiendo ademas caro padre solo comente mesero dijo quejan siempre joven,1,Teotihuacan,Estado_de_Mexico,Restaurant,4
mala presentación mal olor apariencia sucia aunque buena atención personal invita regresar realmente creo indispensable remodelación cuidar vapores drenaje,2,Tlaquepaque,Jalisco,Hotel,4
vale pena subir cansado arriba vale pena lleva zapato cómodo agua trayecto,5,Tepoztlan,Morelos,Attractive,1
increíble concepto mexicano deliciosa decoración cuadros buenos patio hace súper cómodo ambiente familiar increíble sazón recomendado,4,Cholula,Puebla,Restaurant,3
rico cortes exquisitos picaña costilla horno maravilla bebidas rico piñas coladas ofrecen excelente amables recomendable,5,Teotihuacan,Estado_de_Mexico,Restaurant,3
definitivamente arquitectura digna admirareste templo alrededores vale pena visitarlos convivir creyente disfrutas arquitectura general va gustar,4,San_Cristobal_de_las_Casas,Chiapas,Attractive,1
conocido california canción águilas dejado corazón parada santos aunque medio pequeño pueblo pequeñas tiendas cambiado años divertido ir compras tomar fotos viejo estilo bar advertencia margaritas puedo decir suficiente cómo malo margaritas amargo agrio barato tequila viene mente solían tener hermosa tequila botella decía california prueba lado calle tequila sunrise mejor mejores margaritasmás,3,TodosSantos,Baja_CaliforniaSur,Restaurant,2
momento llegamos trataron increíblemente todas vacaciones atención uniforme mostraron personal tratamiento primera clase nunca experimentado cualquier estrellas cualquier parte primera vez dejado contento estancia general quieres relajarte perfecto selección fresca calidad alto estándar duda perderse personal zenserenity gracias espero volver nuevo richie fiona belfast irlanda,5,Tulum,QuintanaRoo,Hotel,0
lucy diego mejores súper atentos amables gracias cena placentera,5,Tulum,QuintanaRoo,Restaurant,3
realmente m parece caro corresponde precio calidad valoro atienden solicitud algún reclamo parte gerente perrine siempre pendiente lado nevy extraordinaria terapeuta vale pena tomar masaje buena n abro,3,Bacalar,QuintanaRoo,Hotel,3
recomendado familia aquí hace dos semanas deliciosa toston ropa vieja visita obligada ensalada vivian almuerzo perfecta gracias vivian,4,Isla_Mujeres,QuintanaRoo,Restaurant,2
instalaciones estan bien mal mala comunicacion vendieron noche desayuno incluido ahi dijeron venia incluidos entregar habitacion dijeron siempre incluia perdimos beneficio estabamos platicando palapas noche pidieron retiraramos q habian cerrado alberca teniamos irnos nueatras queda mala imagen,2,Palenque,Chiapas,Hotel,4
detuvimos oscars mientras viajábamos isla lleva corona fría us lleva buen plato nachos entorno único buena parecía buen precio personas cervezas placas denachos plato tacos,4,Isla_Mujeres,QuintanaRoo,Restaurant,2
excelente posada don bosco limpioque buscamos tradicional rico tradicional chocolate metate hace parecer mejor esquí sito sabor tradicional demuestra sabores colores tradiciones mexicanas hermoso recomendar,2,Patzcuaro,Michoacan,Hotel,3
simple estándar quizás buen gusta banda volumen ambiente familiar ningún cóctel mencionaban carta bebidas tardaron personal grosero general mal,1,Bacalar,QuintanaRoo,Restaurant,3
viniendo principios década encanta sentarse bajo árbol escuchando sonidos locales saboreando buen tequila año pareció calidad disminuido cantidad elsabor marinero parecía menos casera empaquetada aún así disfruté ahogada torta guacamole impresionante fundido sans squash blossom birria huitlacoche faltaba gorditas sangría terriblemás,2,Tlaquepaque,Jalisco,Restaurant,2
ve siempre vas niños pequeños estatuas duendes pueden dar miedo dura poquito,3,Huasca_de_Ocampo,Hidalgo,Attractive,1
noches grupo personas instalaciones comidas preparadas instalaciones buenas problema principal personal malo sino simplemente dan abasto ves activos colaborativos simple vista ve sobrepasados check in tardó hora asignarnos pedidos cuarto tardan mínimo hora media desconozco hoteles situación difícilmente volvería felicitaciones isabel ricardo excelente actitud,3,Tulum,QuintanaRoo,Hotel,4
noche esposa hija años hijo años intención conocer valladolid cenotes excelente cuarto limpio baño moderno mejor tratan casa mañana tomamos desayuno riquísimo pequeño jardín cuidaron niño desayunaramos agusto ubicación inmejorable pleno centro parte pueblo mágico definitivamente volveremos año entra par noches gracias hospitalidad,5,Valladolid,Yucatan,Hotel,0
espectacular vista excelente personal realmente inolvidable fantastica chalets cuentan tres pisos acogedores spa increible caro vale pena ampliaron horario alberca mañana techada increible caminas encuentras hermoso iluminacion noche cascada hermosa epoca lluvia excelente opcion muchas cosas dentro,5,Valle_de_Bravo,Estado_de_Mexico,Hotel,0
hospedado hace unas semanas trataron súper cómodo accesible arturo equipo hace fluya súper ambiente casa limpia excelente cerca ona concurrida tulum ende solo rentas bici listo mood gracias regresaremos pronto frank,5,Tulum,QuintanaRoo,Hotel,0
decidimos pasar comer familia tlaquepaque camino guadalajara somo extranjeros preguntamos típico agradable caímos quiere ser bonito mal único bien,1,Tlaquepaque,Jalisco,Restaurant,3
